全局费用编码,中文费用名称,英文费用名称,助记符,默认币种,默认应/免税,可选开票类型,所属费用分类,对应的服务,对应的供应商类型,对应的财务科目,需提供的单据,科目说明,收付方向,原系统编码,科目说明英文
FC0095,磁检费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,磁检费相关的费用，具体概念和收费标准需根据实际业务需求进一步确认。,应付,655226,"Charges related to 磁检费, specific concept and rates need further confirmation based on actual business requirements."
FC0096,漏装费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,漏装费相关的费用，具体概念和收费标准需根据实际业务需求进一步确认。,应付,655250,"Charges related to 漏装费, specific concept and rates need further confirmation based on actual business requirements."
FC0097,码头堆存费,,,CNY,应税,专票/普票,仓储费用,仓储,堆场/码头,,,码头堆存费，货物或集装箱在指定场所堆放存储的费用，通常按时间计算。,应付,655260,"码头堆存费, Storage fee for cargo or containers at designated facilities, usually calculated by time period."
FC0098,机场地面补贴,,,CNY,应税,专票/普票,特殊科目,,待确认,,,机场地面补贴相关的费用，具体概念和收费标准需根据实际业务需求进一步确认。,应付,"55250   , 55250","Charges related to 机场地面补贴, specific concept and rates need further confirmation based on actual business requirements."
FC0099,代垫港府规费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,代垫港府规费相关的费用，具体概念和收费标准需根据实际业务需求进一步确认。,应付,"55138   , 55138","Charges related to 代垫港府规费, specific concept and rates need further confirmation based on actual business requirements."
FC0100,机坪操作费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,机坪操作费相关的费用，具体概念和收费标准需根据实际业务需求进一步确认。,应付,55304,"Charges related to 机坪操作费, specific concept and rates need further confirmation based on actual business requirements."
FC0101,港口/码头/场站设施费用,,,CNY,应税,专票/普票,码头/港口/场站费用,,码头/场站,,,港口/码头/场站设施费用，在码头、港口、场站进行作业时产生的费用，具体收费标准和适用场景需根据实际业务情况确定。,应付,,"港口/码头/场站设施费用, charges related to 在码头、港口、场站进行作业时产生的费用, specific rates and applicable scenarios depend on actual business conditions."
FC0102,港口设施保安费,,ISPS,CNY,应税,专票/普票,码头/港口/场站费用,,码头/场站,,,港口设施保安费，在码头、港口、场站进行作业时产生的费用，具体收费标准和适用场景需根据实际业务情况确定。,应付,"55254   , 55254","港口设施保安费, charges related to 在码头、港口、场站进行作业时产生的费用, specific rates and applicable scenarios depend on actual business conditions."
FC0103,制冷费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,制冷费相关的费用，具体概念和收费标准需根据实际业务需求进一步确认。,应付,SEA01007,"Charges related to 制冷费, specific concept and rates need further confirmation based on actual business requirements."
FC0104,超期制冷费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,超期制冷费相关的费用，具体概念和收费标准需根据实际业务需求进一步确认。,应付,SEA01034,"Charges related to 超期制冷费, specific concept and rates need further confirmation based on actual business requirements."
FC0105,场地使用费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,场地使用费相关的费用，具体概念和收费标准需根据实际业务需求进一步确认。,应付,"55835   , CSN059","Charges related to 场地使用费, specific concept and rates need further confirmation based on actual business requirements."
FC0106,吊机费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,吊机费相关的费用，具体概念和收费标准需根据实际业务需求进一步确认。,应付,SEA01057,"Charges related to 吊机费, specific concept and rates need further confirmation based on actual business requirements."
FC0107,基础设施费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,基础设施费相关的费用，具体概念和收费标准需根据实际业务需求进一步确认。,应付,55315,"Charges related to 基础设施费, specific concept and rates need further confirmation based on actual business requirements."
FC0108,港口/码头/场站其他费用,,,CNY,应税,专票/普票,码头/港口/场站费用,,码头/场站,,,港口/码头/场站其他费用，在码头、港口、场站进行作业时产生的费用，具体收费标准和适用场景需根据实际业务情况确定。,应付,,"港口/码头/场站其他费用, charges related to 在码头、港口、场站进行作业时产生的费用, specific rates and applicable scenarios depend on actual business conditions."
FC0109,海运费,,OF,CNY,应税,专票/普票,跨境运输费用,,船公司,,,承运人承运货物的基本运输费用，是海运服务的核心收费项目，通常按集装箱规格和航线距离计算。,应付,"SEAN079, 0031","Basic ocean freight charges for cargo transportation, the core service fee calculated based on container specifications and route distance."
FC0110,空运费,,,CNY,应税,专票/普票,跨境运输费用,,船公司/航空公司,,,空运费，跨境运输过程中产生的费用，具体收费标准和适用场景需根据实际业务情况确定。,应付,AIR01001,"空运费, charges related to 跨境运输过程中产生的费用, specific rates and applicable scenarios depend on actual business conditions."
FC0111,铁路运费,,,CNY,应税,专票/普票,跨境运输费用,国内铁路,船公司/航空公司,,,铁路运费，跨境运输过程中产生的费用，具体收费标准和适用场景需根据实际业务情况确定。,应付,SEAN083,"铁路运费, charges related to 跨境运输过程中产生的费用, specific rates and applicable scenarios depend on actual business conditions."
FC0112,亏舱费/空舱费,,DF,CNY,应税,专票/普票,特殊科目,,待确认,,,亏舱费/空舱费相关的费用，具体概念和收费标准需根据实际业务需求进一步确认。,应付,"SEA01025, 655249","Charges related to 亏舱费/空舱费, specific concept and rates need further confirmation based on actual business requirements."
FC0113,跨境卡车运费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,跨境卡车运费相关的费用，具体概念和收费标准需根据实际业务需求进一步确认。,应付,,"Charges related to 跨境卡车运费, specific concept and rates need further confirmation based on actual business requirements."
FC0114,上海码头费,,SPS,CNY,应税,专票/普票,码头/港口/场站费用,,码头/场站,,,上海码头费，在码头、港口、场站进行作业时产生的费用，具体收费标准和适用场景需根据实际业务情况确定。,应付,,"上海码头费, charges related to 在码头、港口、场站进行作业时产生的费用, specific rates and applicable scenarios depend on actual business conditions."
FC0115,港口拥挤附加费,,PCS,CNY,应税,专票/普票,跨境运输费用,,船公司/航空公司,,,港口拥挤附加费，跨境运输过程中产生的费用，具体收费标准和适用场景需根据实际业务情况确定。,应付,550006,"港口拥挤附加费, charges related to 跨境运输过程中产生的费用, specific rates and applicable scenarios depend on actual business conditions."
FC0116,天津码头费,,TTS,CNY,应税,专票/普票,码头/港口/场站费用,,码头/场站,,,天津码头费，在码头、港口、场站进行作业时产生的费用，具体收费标准和适用场景需根据实际业务情况确定。,应付,,"天津码头费, charges related to 在码头、港口、场站进行作业时产生的费用, specific rates and applicable scenarios depend on actual business conditions."
FC0117,货物设施费,,CFC,CNY,应税,专票/普票,特殊科目,,待确认,,,货物设施费相关的费用，具体概念和收费标准需根据实际业务需求进一步确认。,应付,,"Charges related to 货物设施费, specific concept and rates need further confirmation based on actual business requirements."
FC0118,码头附加费,,WF,CNY,应税,专票/普票,跨境运输费用,,船公司/航空公司,,,码头附加费，跨境运输过程中产生的费用，具体收费标准和适用场景需根据实际业务情况确定。,应付,"55278, 55308   , 55660","码头附加费, charges related to 跨境运输过程中产生的费用, specific rates and applicable scenarios depend on actual business conditions."
FC0119,港口/码头/场站费用,,,CNY,应税,专票/普票,码头/港口/场站费用,,码头/场站,,,港口/码头/场站费用，在码头、港口、场站进行作业时产生的费用，具体收费标准和适用场景需根据实际业务情况确定。,应付,,"港口/码头/场站费用, charges related to 在码头、港口、场站进行作业时产生的费用, specific rates and applicable scenarios depend on actual business conditions."
FC0120,装卸费用,,,CNY,应税,专票/普票,装卸费用,,装卸公司,,,装卸费用，货物装卸操作过程中产生的费用，具体收费标准和适用场景需根据实际业务情况确定。,应付,"55764, 55765, 55767, 20070703","装卸费用, charges related to 货物装卸操作过程中产生的费用, specific rates and applicable scenarios depend on actual business conditions."
FC0121,装货费用,,,CNY,应税,专票/普票,装卸费用,内装,装卸公司,,,装货费用，货物装卸操作过程中产生的费用，具体收费标准和适用场景需根据实际业务情况确定。,应付,,"装货费用, charges related to 货物装卸操作过程中产生的费用, specific rates and applicable scenarios depend on actual business conditions."
FC0122,理货费,,,CNY,应税,专票/普票,装卸费用,内装,装卸公司,,,理货费，货物装卸操作过程中产生的费用，具体收费标准和适用场景需根据实际业务情况确定。,应付,"WMS01002, 55722","理货费, charges related to 货物装卸操作过程中产生的费用, specific rates and applicable scenarios depend on actual business conditions."
FC0123,装箱费,,,CNY,应税,专票/普票,装卸费用,内装,装箱队/货代,,,将货物装入集装箱的服务费用，包括人工、设备使用等成本。,应付,"SEAN086 , 55762",Container loading fee including labor and equipment costs for stuffing cargo into containers.
FC0124,出库装卸费,,,CNY,应税,专票/普票,装卸费用,仓储,装卸公司,,,出库装卸费，货物装卸操作过程中产生的费用，具体收费标准和适用场景需根据实际业务情况确定。,应付,"WMS01015, CSN046","出库装卸费, charges related to 货物装卸操作过程中产生的费用, specific rates and applicable scenarios depend on actual business conditions."
FC0125,卸货费用,,,CNY,应税,专票/普票,装卸费用,,装卸公司,,,卸货费用，货物装卸操作过程中产生的费用，具体收费标准和适用场景需根据实际业务情况确定。,应付,,"卸货费用, charges related to 货物装卸操作过程中产生的费用, specific rates and applicable scenarios depend on actual business conditions."
FC0126,拆箱费,,,CNY,应税,专票/普票,集装箱费用,,船公司/箱东,,,拆箱费，集装箱使用过程中产生的相关费用，具体收费标准和适用场景需根据实际业务情况确定。,应付,"WMSN089 , 55226, 55307","拆箱费, charges related to 集装箱使用过程中产生的相关费用, specific rates and applicable scenarios depend on actual business conditions."
FC0127,入库装卸费,,,CNY,应税,专票/普票,装卸费用,仓储,装卸公司,,,入库装卸费，货物装卸操作过程中产生的费用，具体收费标准和适用场景需根据实际业务情况确定。,应付,WMS01016,"入库装卸费, charges related to 货物装卸操作过程中产生的费用, specific rates and applicable scenarios depend on actual business conditions."
FC0128,非跨境运输费用,,,CNY,应税,专票/普票,特殊科目,,待确认,,,非跨境运输费用相关的费用，具体概念和收费标准需根据实际业务需求进一步确认。,应付,,"Charges related to 非跨境运输费用, specific concept and rates need further confirmation based on actual business requirements."
FC0129,货物附加费用,,,CNY,应税,专票/普票,跨境运输费用,,船公司/航空公司,,,货物附加费用，跨境运输过程中产生的费用，具体收费标准和适用场景需根据实际业务情况确定。,应付,,"货物附加费用, charges related to 跨境运输过程中产生的费用, specific rates and applicable scenarios depend on actual business conditions."
FC0130,基本运输费用,,,CNY,应税,专票/普票,特殊科目,,待确认,,,基本运输费用相关的费用，具体概念和收费标准需根据实际业务需求进一步确认。,应付,,"Charges related to 基本运输费用, specific concept and rates need further confirmation based on actual business requirements."
FC0131,送货费,,,CNY,应税,专票/普票,境内运输费用,"拖车,派送",运输公司,,,送货费，境内运输过程中产生的各类费用，具体收费标准和适用场景需根据实际业务情况确定。,应付,"OP001004, 0007, 55272, 55145, 55200","送货费, charges related to 境内运输过程中产生的各类费用, specific rates and applicable scenarios depend on actual business conditions."
FC0132,提货费,,,CNY,应税,专票/普票,境内运输费用,拖车,运输公司,,,提货费，境内运输过程中产生的各类费用，具体收费标准和适用场景需根据实际业务情况确定。,应付,"OP001011, 05011105, 55201","提货费, charges related to 境内运输过程中产生的各类费用, specific rates and applicable scenarios depend on actual business conditions."
FC0133,陆运费,,,CNY,应税,专票/普票,境内运输费用,拖车,运输公司,,,货物通过公路运输产生的费用，包括车辆使用、燃油、人工等成本。,应付,"TR001012, 0039, 11002, 55275","Land transportation fee including vehicle usage, fuel, and labor costs for road transport."
FC0134,短驳费,,,CNY,应税,专票/普票,境内运输费用,拖车,运输公司,,,短驳费，境内运输过程中产生的各类费用，具体收费标准和适用场景需根据实际业务情况确定。,应付,TR001009,"短驳费, charges related to 境内运输过程中产生的各类费用, specific rates and applicable scenarios depend on actual business conditions."
FC0135,放空费/空返费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,放空费/空返费相关的费用，具体概念和收费标准需根据实际业务需求进一步确认。,应付,"TR001003, 05011201, 8012, 55189","Charges related to 放空费/空返费, specific concept and rates need further confirmation based on actual business requirements."
FC0136,还箱费,,,CNY,应税,专票/普票,集装箱费用,,船公司/箱东,,,还箱费，集装箱使用过程中产生的相关费用，具体收费标准和适用场景需根据实际业务情况确定。,应付,655239,"还箱费, charges related to 集装箱使用过程中产生的相关费用, specific rates and applicable scenarios depend on actual business conditions."
FC0137,预提费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,预提费相关的费用，具体概念和收费标准需根据实际业务需求进一步确认。,应付,55277,"Charges related to 预提费, specific concept and rates need further confirmation based on actual business requirements."
FC0138,快递费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,快递费相关的费用，具体概念和收费标准需根据实际业务需求进一步确认。,应付,"OP001009, 655248","Charges related to 快递费, specific concept and rates need further confirmation based on actual business requirements."
FC0139,代垫快递费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,代垫快递费相关的费用，具体概念和收费标准需根据实际业务需求进一步确认。,应付,55836,"Charges related to 代垫快递费, specific concept and rates need further confirmation based on actual business requirements."
FC0140,卡班转运费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,卡班转运费相关的费用，具体概念和收费标准需根据实际业务需求进一步确认。,应付,"55180   , 55180, SEA01016","Charges related to 卡班转运费, specific concept and rates need further confirmation based on actual business requirements."
FC0141,分拨费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,分拨费相关的费用，具体概念和收费标准需根据实际业务需求进一步确认。,应付,"OPN073  , OPN073","Charges related to 分拨费, specific concept and rates need further confirmation based on actual business requirements."
FC0142,内陆铁路转运费,,,CNY,应税,专票/普票,特殊科目,国内铁路,待确认,,,内陆铁路转运费相关的费用，具体概念和收费标准需根据实际业务需求进一步确认。,应付,55252,"Charges related to 内陆铁路转运费, specific concept and rates need further confirmation based on actual business requirements."
FC0143,多点提/送费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,多点提/送费相关的费用，具体概念和收费标准需根据实际业务需求进一步确认。,应付,TR001014,"Charges related to 多点提/送费, specific concept and rates need further confirmation based on actual business requirements."
FC0144,国内空运费,,,CNY,应税,专票/普票,跨境运输费用,,船公司/航空公司,,,国内空运费，跨境运输过程中产生的费用，具体收费标准和适用场景需根据实际业务情况确定。,应付,55850,"国内空运费, charges related to 跨境运输过程中产生的费用, specific rates and applicable scenarios depend on actual business conditions."
FC0145,到付运费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,到付运费相关的费用，具体概念和收费标准需根据实际业务需求进一步确认。,应付,OP001007,"Charges related to 到付运费, specific concept and rates need further confirmation based on actual business requirements."
FC0146,回程配货费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,回程配货费相关的费用，具体概念和收费标准需根据实际业务需求进一步确认。,应付,55081,"Charges related to 回程配货费, specific concept and rates need further confirmation based on actual business requirements."
FC0147,异地还拖板费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,异地还拖板费相关的费用，具体概念和收费标准需根据实际业务需求进一步确认。,应付,655238,"Charges related to 异地还拖板费, specific concept and rates need further confirmation based on actual business requirements."
FC0148,支线运费,,,CNY,应税,专票/普票,特殊科目,驳船,待确认,,,支线运费相关的费用，具体概念和收费标准需根据实际业务需求进一步确认。,应付,"55783, HY202301","Charges related to 支线运费, specific concept and rates need further confirmation based on actual business requirements."
FC0149,其他附加费用,,,CNY,应税,专票/普票,跨境运输费用,,船公司/航空公司,,,其他附加费用，跨境运输过程中产生的费用，具体收费标准和适用场景需根据实际业务情况确定。,应付,,"其他附加费用, charges related to 跨境运输过程中产生的费用, specific rates and applicable scenarios depend on actual business conditions."
FC0150,自有车辆费用,,,CNY,应税,专票/普票,特殊科目,,待确认,,,自有车辆费用相关的费用，具体概念和收费标准需根据实际业务需求进一步确认。,应付,,"Charges related to 自有车辆费用, specific concept and rates need further confirmation based on actual business requirements."
FC0151,停车费,,,CNY,应税,专票/普票,境内运输费用,,运输公司,,,停车费，境内运输过程中产生的各类费用，具体收费标准和适用场景需根据实际业务情况确定。,应付,SEA01119,"停车费, charges related to 境内运输过程中产生的各类费用, specific rates and applicable scenarios depend on actual business conditions."
FC0152,油费,,,CNY,应税,专票/普票,境内运输费用,,运输公司,,,油费，境内运输过程中产生的各类费用，具体收费标准和适用场景需根据实际业务情况确定。,应付,TRN082,"油费, charges related to 境内运输过程中产生的各类费用, specific rates and applicable scenarios depend on actual business conditions."
FC0153,待时费,,,CNY,应税,专票/普票,境内运输费用,,运输公司,,,待时费，境内运输过程中产生的各类费用，具体收费标准和适用场景需根据实际业务情况确定。,应付,"TR001010, 7000","待时费, charges related to 境内运输过程中产生的各类费用, specific rates and applicable scenarios depend on actual business conditions."
FC0154,押夜费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,押夜费相关的费用，具体概念和收费标准需根据实际业务需求进一步确认。,应付,TRN083,"Charges related to 押夜费, specific concept and rates need further confirmation based on actual business requirements."
FC0155,过路过桥费,,,CNY,应税,专票/普票,境内运输费用,,运输公司,,,过路过桥费，境内运输过程中产生的各类费用，具体收费标准和适用场景需根据实际业务情况确定。,应付,TRN081,"过路过桥费, charges related to 境内运输过程中产生的各类费用, specific rates and applicable scenarios depend on actual business conditions."
FC0156,卡车航班服务费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,卡车航班服务费相关的费用，具体概念和收费标准需根据实际业务需求进一步确认。,应付,55856,"Charges related to 卡车航班服务费, specific concept and rates need further confirmation based on actual business requirements."
FC0157,代驾服务费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,代驾服务费相关的费用，具体概念和收费标准需根据实际业务需求进一步确认。,应付,55313,"Charges related to 代驾服务费, specific concept and rates need further confirmation based on actual business requirements."
FC0158,车货配载服务费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,车货配载服务费相关的费用，具体概念和收费标准需根据实际业务需求进一步确认。,应付,55855,"Charges related to 车货配载服务费, specific concept and rates need further confirmation based on actual business requirements."
FC0159,自有车辆折旧费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,自有车辆折旧费相关的费用，具体概念和收费标准需根据实际业务需求进一步确认。,应付,55162,"Charges related to 自有车辆折旧费, specific concept and rates need further confirmation based on actual business requirements."
FC0160,自有车辆保险费,,,CNY,应税,专票/普票,保险费用,保险,保险公司,,,自有车辆保险费，为货物运输过程提供风险保障的费用，承保运输途中的各类损失。,应付,55163,"自有车辆保险费, Insurance premium for cargo protection during transport, covering various losses during transit."
FC0161,自有车辆维修保养费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,自有车辆维修保养费相关的费用，具体概念和收费标准需根据实际业务需求进一步确认。,应付,55165,"Charges related to 自有车辆维修保养费, specific concept and rates need further confirmation based on actual business requirements."
FC0162,车辆管理费用,,,CNY,应税,专票/普票,特殊科目,,待确认,,,车辆管理费用相关的费用，具体概念和收费标准需根据实际业务需求进一步确认。,应付,TR001001,"Charges related to 车辆管理费用, specific concept and rates need further confirmation based on actual business requirements."
FC0163,保险费,,,CNY,应税,专票/普票,保险费用,保险,保险公司,,,为货物运输过程提供风险保障的费用，承保运输途中的各类损失。,应付,,"Insurance premium for cargo protection during transport, covering various losses during transit."
FC0164,关检费用,,,CNY,应税,专票/普票,特殊科目,,待确认,,,关检费用相关的费用，具体概念和收费标准需根据实际业务需求进一步确认。,应付,,"Charges related to 关检费用, specific concept and rates need further confirmation based on actual business requirements."
FC0165,关检常规服务费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,关检常规服务费相关的费用，具体概念和收费标准需根据实际业务需求进一步确认。,应付,,"Charges related to 关检常规服务费, specific concept and rates need further confirmation based on actual business requirements."
FC0166,保税相关费用,,,CNY,应税,专票/普票,特殊科目,,待确认,,,保税相关费用相关的费用，具体概念和收费标准需根据实际业务需求进一步确认。,应付,,"Charges related to 保税相关费用, specific concept and rates need further confirmation based on actual business requirements."
FC0167,保税核注清单出口费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,保税核注清单出口费相关的费用，具体概念和收费标准需根据实际业务需求进一步确认。,应付,"55256   , 55256","Charges related to 保税核注清单出口费, specific concept and rates need further confirmation based on actual business requirements."
FC0168,保税核注清单申报费,,,CNY,应税,专票/普票,单证文件费用,"报关,舱单",船公司/代理,,,保税核注清单申报费，单证文件制作、传输、申报等产生的费用，具体收费标准和适用场景需根据实际业务情况确定。,应付,55312,"保税核注清单申报费, charges related to 单证文件制作、传输、申报等产生的费用, specific rates and applicable scenarios depend on actual business conditions."
FC0169,剪锁费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,剪锁费相关的费用，具体概念和收费标准需根据实际业务需求进一步确认。,应付,55903,"Charges related to 剪锁费, specific concept and rates need further confirmation based on actual business requirements."
FC0170,监管区车辆管理费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,监管区车辆管理费相关的费用，具体概念和收费标准需根据实际业务需求进一步确认。,应付,"55159   , 55159","Charges related to 监管区车辆管理费, specific concept and rates need further confirmation based on actual business requirements."
FC0171,卡口使用费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,卡口使用费相关的费用，具体概念和收费标准需根据实际业务需求进一步确认。,应付,"CS002001, 55719","Charges related to 卡口使用费, specific concept and rates need further confirmation based on actual business requirements."
FC0172,电子账册使用费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,电子账册使用费相关的费用，具体概念和收费标准需根据实际业务需求进一步确认。,应付,WMS01020,"Charges related to 电子账册使用费, specific concept and rates need further confirmation based on actual business requirements."
FC0173,代垫进出区杂费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,代垫进出区杂费相关的费用，具体概念和收费标准需根据实际业务需求进一步确认。,应付,55095,"Charges related to 代垫进出区杂费, specific concept and rates need further confirmation based on actual business requirements."
FC0174,保税核注清单进口费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,保税核注清单进口费相关的费用，具体概念和收费标准需根据实际业务需求进一步确认。,应付,55255,"Charges related to 保税核注清单进口费, specific concept and rates need further confirmation based on actual business requirements."
FC0175,关检增值服务及异常处置,,,CNY,应税,专票/普票,特殊科目,,待确认,,,关检增值服务及异常处置相关的费用，具体概念和收费标准需根据实际业务需求进一步确认。,应付,,"Charges related to 关检增值服务及异常处置, specific concept and rates need further confirmation based on actual business requirements."
FC0176,滞报金,,,CNY,应税,专票/普票,关检费用,,报关行/海关,,,滞报金，报关报检及海关监管相关的费用，具体收费标准和适用场景需根据实际业务情况确定。,应付,CS001015,"滞报金, charges related to 报关报检及海关监管相关的费用, specific rates and applicable scenarios depend on actual business conditions."
FC0177,退关费,,,CNY,应税,专票/普票,关检费用,,报关行/海关,,,退关费，报关报检及海关监管相关的费用，具体收费标准和适用场景需根据实际业务情况确定。,应付,"CSN037  , CSN037","退关费, charges related to 报关报检及海关监管相关的费用, specific rates and applicable scenarios depend on actual business conditions."
FC0178,关检罚款,,,CNY,应税,专票/普票,特殊科目,,待确认,,,关检罚款相关的费用，具体概念和收费标准需根据实际业务需求进一步确认。,应付,CQN002,"Charges related to 关检罚款, specific concept and rates need further confirmation based on actual business requirements."
FC0179,查验拖车费,,,CNY,应税,专票/普票,境内运输费用,"拖车,报关",拖车公司,,,查验拖车费，集装箱在陆地的短途运输费用，连接港口码头与货主工厂/仓库，是多式联运的重要环节。,应付,"CQ001011, 55281","查验拖车费, Container drayage fee for short-distance land transport connecting ports with shipper facilities, crucial for multimodal transport."
FC0180,关检查验费,,,CNY,应税,专票/普票,关检费用,"报关,质量控制",报关行/海关,,,关检查验费，报关报检及海关监管相关的费用，具体收费标准和适用场景需根据实际业务情况确定。,应付,"55825   , 655230","关检查验费, charges related to 报关报检及海关监管相关的费用, specific rates and applicable scenarios depend on actual business conditions."
FC0181,代垫查验费用,,,CNY,应税,专票/普票,关检费用,报关,报关行/海关,,,代垫查验费用，报关报检及海关监管相关的费用，具体收费标准和适用场景需根据实际业务情况确定。,应付,CQ001015,"代垫查验费用, charges related to 报关报检及海关监管相关的费用, specific rates and applicable scenarios depend on actual business conditions."
FC0182,代垫手续费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,代垫手续费相关的费用，具体概念和收费标准需根据实际业务需求进一步确认。,应付,"55123   , 55123, 55306","Charges related to 代垫手续费, specific concept and rates need further confirmation based on actual business requirements."
FC0183,重开进场联,,,CNY,应税,专票/普票,特殊科目,,待确认,,,重开进场联相关的费用，具体概念和收费标准需根据实际业务需求进一步确认。,应付,55279,"Charges related to 重开进场联, specific concept and rates need further confirmation based on actual business requirements."
FC0184,垫税代理,,,CNY,应税,专票/普票,特殊科目,,待确认,,,垫税代理相关的费用，具体概念和收费标准需根据实际业务需求进一步确认。,应付,OPN071,"Charges related to 垫税代理, specific concept and rates need further confirmation based on actual business requirements."
FC0185,关检保证金,,,CNY,应税,专票/普票,特殊科目,,待确认,,,关检保证金相关的费用，具体概念和收费标准需根据实际业务需求进一步确认。,应付,,"Charges related to 关检保证金, specific concept and rates need further confirmation based on actual business requirements."
FC0186,税费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,税费相关的费用，具体概念和收费标准需根据实际业务需求进一步确认。,应付,,"Charges related to 税费, specific concept and rates need further confirmation based on actual business requirements."
FC0187,消费税,,,CNY,应税,专票/普票,特殊科目,,待确认,,,消费税相关的费用，具体概念和收费标准需根据实际业务需求进一步确认。,应付,CS001030,"Charges related to 消费税, specific concept and rates need further confirmation based on actual business requirements."
FC0188,反倾销税,,,CNY,应税,专票/普票,特殊科目,,待确认,,,反倾销税相关的费用，具体概念和收费标准需根据实际业务需求进一步确认。,应付,CS001031,"Charges related to 反倾销税, specific concept and rates need further confirmation based on actual business requirements."
FC0189,内销补税,,,CNY,应税,专票/普票,特殊科目,,待确认,,,内销补税相关的费用，具体概念和收费标准需根据实际业务需求进一步确认。,应付,"OPN062  , OPN062","Charges related to 内销补税, specific concept and rates need further confirmation based on actual business requirements."
FC0190,美国海关保证金（单次）,,,CNY,应税,专票/普票,关检费用,,报关行/海关,,,美国海关保证金（单次），报关报检及海关监管相关的费用，具体收费标准和适用场景需根据实际业务情况确定。,应付,"55233, 55664","美国海关保证金（单次）, charges related to 报关报检及海关监管相关的费用, specific rates and applicable scenarios depend on actual business conditions."
FC0191,美国海关保证金（年度）,,,CNY,应税,专票/普票,关检费用,,报关行/海关,,,美国海关保证金（年度），报关报检及海关监管相关的费用，具体收费标准和适用场景需根据实际业务情况确定。,应付,"55232, 55664","美国海关保证金（年度）, charges related to 报关报检及海关监管相关的费用, specific rates and applicable scenarios depend on actual business conditions."
FC0192,报关费,,,CNY,应税,专票/普票,关检费用,报关,报关行,,,委托报关行办理货物出口报关手续的服务费用，包括单证审核、报关单填制、与海关沟通等专业服务。,应付,"CS001001, 550006, 55312","Customs clearance service fee for export procedures, including document review, declaration preparation, and customs communication."
FC0193,转关费,,,CNY,应税,专票/普票,关检费用,报关,报关行,,,货物在转关运输过程中产生的费用，适用于从一个关区转移到另一个关区的货物。,应付,CS001028,Transit customs fee for goods moving from one customs territory to another.
FC0194,报检费,,,CNY,应税,专票/普票,关检费用,报关,报关行/海关,,,报检费，报关报检及海关监管相关的费用，具体收费标准和适用场景需根据实际业务情况确定。,应付,"CQN003  , 55777, 55301","报检费, charges related to 报关报检及海关监管相关的费用, specific rates and applicable scenarios depend on actual business conditions."
FC0195,动检费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,动检费相关的费用，具体概念和收费标准需根据实际业务需求进一步确认。,应付,0058,"Charges related to 动检费, specific concept and rates need further confirmation based on actual business requirements."
FC0196,植物检疫费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,植物检疫费相关的费用，具体概念和收费标准需根据实际业务需求进一步确认。,应付,0091,"Charges related to 植物检疫费, specific concept and rates need further confirmation based on actual business requirements."
FC0197,关税,,CD,CNY,应税,专票/普票,关检费用,报关,海关,,,海关对进出口商品征收的税收，根据商品类别和税率计算。,应付,CS001005,Import/export duties levied by customs authorities based on commodity classification and tax rates.
FC0198,增值税,,,CNY,应税,专票/普票,关检费用,报关,报关行/海关,,,增值税，报关报检及海关监管相关的费用，具体收费标准和适用场景需根据实际业务情况确定。,应付,"CS001014, 55772, SEA01010","增值税, charges related to 报关报检及海关监管相关的费用, specific rates and applicable scenarios depend on actual business conditions."
